FUNIT: Hz
UNIT: dB
1.065132e+10 [-5.42, 17.28] [-5.22, 18.28] [-5.02, 19.28]
1.105808e+10 [-5.59, -9.78] [-5.39, -8.78] [-5.19, -7.78]
1.148038e+10 [-5.87, -114.70] [-5.67, -113.70] [-5.47, -112.70]
1.191880e+10 [-5.84, 46.98] [-5.64, 47.98] [-5.44, 48.98]
1.237396e+10 [-5.92, 118.94] [-5.72, 119.94] [-5.52, 120.94]
1.284651e+10 [-6.28, 98.39] [-6.08, 99.39] [-5.88, 100.39]
1.333711e+10 [-6.62, -18.42] [-6.42, -17.42] [-6.22, -16.42]
1.384643e+10 [-6.48, 124.37] [-6.28, 125.37] [-6.08, 126.37]
1.437521e+10 [-6.44, 158.07] [-6.24, 159.07] [-6.04, 160.07]
1.492419e+10 [-6.58, 82.63] [-6.38, 83.63] [-6.18, 84.63]
1.549412e+10 [-7.54, -111.24] [-7.34, -110.24] [-7.14, -109.24]
1.608583e+10 [-9.18, -44.37] [-8.98, -43.37] [-8.78, -42.37]
1.670013e+10 [-7.61, -120.39] [-7.41, -119.39] [-7.21, -118.39]
1.733789e+10 [-10.66, 45.28] [-10.46, 46.28] [-10.26, 47.28]
1.800000e+10 [-11.41, 79.63] [-11.21, 80.63] [-11.01, 81.63]
